Date,CSCO,PFE,INTC,QCOM,PG,CMCSA,CVX,GE,BA,AMZN,ORCL,GOOG,LRCX,VZ,CAT,WMT,GILD,GS,MSFT,AMAT,MRK,PYPL,AAPL,UNP,T,JPM,NFLX,GOOGL,DIS,BAC,UNH,AVGO,CVS,TXN,SLB,WYNN,META,C,V,AMD,XOM,HD,BKNG,IBM,BRK-B,NVDA,JNJ,MU,WFC
2016-12-18,23.394092559814453,21.37932777404785,29.64301872253418,52.4979133605957,66.8983154296875,28.34745216369629,82.2098159790039,137.95172119140625,143.24363708496094,37.88850021362305,34.19306564331055,39.30636215209961,9.24281120300293,32.97616958618164,75.67472839355469,20.381254196166992,54.02511215209961,199.764892578125,56.244632720947266,29.560453414916992,45.989051818847656,39.31999969482422,26.785675048828125,85.7234115600586,16.671545028686523,67.04536437988281,124.22000122070312,40.25060272216797,97.87468719482422,18.684654235839844,143.95591735839844,13.89810848236084,60.583404541015625,57.72676086425781,67.07843017578125,83.1229476928711,119.21597290039062,45.61164093017578,73.87938690185547,10.65999984741211,62.02181625366211,110.0663070678711,1465.6973876953125,109.55198669433594,164.75999450683594,2.473081588745117,91.57193756103516,19.79775619506836,43.55007553100586
2016-12-25,23.348207473754883,21.14496612548828,30.181846618652344,52.81387710571289,67.11951446533203,28.668006896972656,82.44654083251953,139.55892944335938,146.31243896484375,38.02949905395508,33.91322326660156,39.26211929321289,9.562260627746582,33.86571502685547,77.09701538085938,19.967763900756836,53.68974304199219,201.49586486816406,57.093265533447266,29.91506004333496,43.86784362792969,39.58000183105469,26.912704467773438,87.27509307861328,17.095638275146484,68.71086120605469,125.58999633789062,40.14921188354492,99.04266357421875,18.635183334350586,143.15675354003906,14.172300338745117,60.26356506347656,58.90681457519531,67.08628845214844,79.90294647216797,116.63015747070312,46.558231353759766,73.69078063964844,11.579999923706055,61.70213317871094,110.01744842529297,1467.59326171875,109.53887939453125,165.32000732421875,2.7038629055023193,91.6351547241211,22.718093872070312,44.037986755371094
2017-01-01,23.111129760742188,21.14496612548828,29.610368728637695,51.502620697021484,66.42430114746094,28.129138946533203,81.94525146484375,138.333251953125,144.33767700195312,37.493499755859375,33.624637603759766,38.36296463012695,9.356078147888184,33.67644500732422,75.80551147460938,19.8471736907959,52.209686279296875,200.22486877441406,56.10017395019531,29.342226028442383,43.35962677001953,39.470001220703125,26.751022338867188,86.03043365478516,17.015621185302734,68.11097717285156,123.80000305175781,39.386287689208984,98.16667938232422,18.222900390625,140.53128051757812,13.769582748413086,60.088436126708984,57.790130615234375,65.86241149902344,78.24772644042969,114.4222640991211,45.36735153198242,73.56817626953125,11.34000015258789,61.39601135253906,109.22722625732422,1447.70556640625,109.06576538085938,162.97999572753906,2.62898850440979,91.04248809814453,21.409313201904297,43.36907196044922
2017-01-08,23.31728744506836,21.79598045349121,29.781803131103516,51.76328659057617,67.17478942871094,28.626134872436523,81.34650421142578,138.37701416015625,147.50848388671875,39.79949951171875,33.75632858276367,40.0693244934082,9.521553993225098,33.95997619628906,76.05071258544922,19.600229263305664,55.03853988647461,204.78204345703125,56.73213577270508,29.133087158203125,44.390777587890625,41.45000076293945,27.23375701904297,85.62384033203125,16.786863327026367,68.35292053222656,131.07000732421875,41.0145263671875,102.65021514892578,18.701147079467773,142.6124267578125,13.755559921264648,62.59369659423828,58.72466278076172,67.8472900390625,83.60233306884766,122.7366714477539,46.222328186035156,77.51911163330078,11.319999694824219,60.198848724365234,108.77916717529297,1501.532958984375,111.39173889160156,163.41000366210938,2.5393362045288086,91.90383911132812,21.526517868041992,43.313987731933594
2017-01-15,23.193876266479492,21.171005249023438,30.034889221191406,52.82968521118164,66.36900329589844,29.64455795288086,81.02623748779297,137.28262329101562,147.2581787109375,40.856998443603516,34.46745300292969,40.155311584472656,9.781719207763672,33.507259368896484,77.22779083251953,19.2757625579834,53.2741584777832,204.2803497314453,56.60575866699219,30.724327087402344,45.91541290283203,41.599998474121094,27.49475860595703,87.33317565917969,16.640615463256836,68.81324768066406,133.6999969482422,41.299312591552734,101.78362274169922,18.973257064819336,142.07676696777344,14.056235313415527,62.42616271972656,59.397830963134766,66.5449447631836,81.88379669189453,127.6397476196289,45.52002716064453,76.53846740722656,10.579999923706055,58.73637771606445,110.00932312011719,1526.467041015625,109.95277404785156,161.89999389648438,2.5474631786346436,90.56044006347656,21.663259506225586,43.526458740234375
2017-01-22,23.21701431274414,20.6827449798584,30.1573543548584,49.670013427734375,69.6341781616211,29.970470428466797,80.4831771850586,133.6490936279297,147.9071502685547,40.416500091552734,35.002967834472656,40.013153076171875,9.941884994506836,33.615665435791016,77.95099639892578,19.290117263793945,51.77225112915039,194.16244506835938,56.641868591308594,30.76978302001953,46.05534744262695,41.689998626708984,27.716476440429688,90.11289978027344,16.839677810668945,66.40835571289062,138.60000610351562,41.16164016723633,101.40687561035156,18.668170928955078,139.31956481933594,14.884262084960938,62.481842041015625,59.1998291015625,67.85513305664062,82.14608764648438,126.34685516357422,42.83295440673828,77.17023468017578,9.75,58.42347717285156,110.4654769897461,1525.667236328125,112.06195068359375,160.2100067138672,2.561748743057251,90.20484924316406,21.448379516601562,43.337589263916016
2017-01-29,23.895784378051758,20.45488929748535,31.00638198852539,42.84512710571289,69.05290985107422,30.94001007080078,79.22303771972656,131.37277221679688,155.48190307617188,41.78850173950195,35.31903839111328,40.9222526550293,10.463091850280762,31.626264572143555,81.58561706542969,18.853660583496094,51.95452117919922,198.13436889648438,59.386375427246094,31.86090850830078,45.48085021972656,40.27000045776367,28.1668758392334,90.61076354980469,17.067190170288086,68.9958267211914,142.4499969482422,41.99961471557617,102.95160675048828,19.261857986450195,143.1217041015625,16.023876190185547,59.56306076049805,62.189823150634766,66.29391479492188,93.23519134521484,131.45880126953125,43.596336364746094,78.9900894165039,10.670000076293945,58.16501235961914,112.68944549560547,1582.85205078125,116.49711608886719,164.39999389648438,2.7528750896453857,89.59634399414062,23.411556243896484,44.53376388549805
2017-02-05,24.15802764892578,21.103906631469727,30.02730941772461,41.84982681274414,69.60233306884766,30.658931732177734,79.06985473632812,130.01573181152344,150.5680389404297,40.5099983215332,35.49462127685547,39.83769989013672,10.410883903503418,30.97589111328125,76.87957763671875,19.09486198425293,52.74192810058594,201.4791259765625,57.4904899597168,32.10641098022461,47.35165023803711,39.59000015258789,29.813692092895508,90.03820037841797,16.758424758911133,69.19424438476562,140.25,40.76203536987305,103.89353942871094,19.204137802124023,142.13818359375,16.058931350708008,57.80874252319336,60.97040557861328,64.72479248046875,87.66349792480469,130.26535034179688,44.21875,81.16828918457031,12.239999771118164,56.824989318847656,112.40432739257812,1563.556640625,115.52467346191406,163.94000244140625,2.817159652709961,89.80181121826172,24.02687644958496,45.3749885559082
2017-02-12,24.304584503173828,21.274892807006836,29.05709457397461,42.655548095703125,70.04821014404297,30.614116668701172,78.70780944824219,130.103271484375,155.4447021484375,41.37300109863281,35.810672760009766,40.44309616088867,10.263989448547363,31.23094367980957,79.3768310546875,19.531312942504883,48.38200378417969,202.95921325683594,57.77938461303711,32.11549758911133,47.248531341552734,40.58000183105469,30.648149490356445,89.50717163085938,16.811235427856445,69.0513687133789,144.82000732421875,41.49364471435547,102.9139404296875,19.030977249145508,141.1547393798828,16.009071350097656,60.16062545776367,59.902442932128906,64.45806884765625,89.90904998779297,133.4578399658203,44.119224548339844,80.99857330322266,13.579999923706055,56.64444351196289,113.927734375,1625.896240234375,118.33213806152344,164.00999450683594,2.7984418869018555,91.06617736816406,23.48969268798828,45.05014419555664
2017-02-19,26.024646759033203,22.110105514526367,29.994422912597656,44.5987434387207,72.53260040283203,30.68336296081543,77.54936981201172,132.94874572753906,161.50428771972656,42.253501892089844,36.925655364990234,41.15884780883789,10.167531967163086,31.364845275878906,81.47024536132812,19.91895294189453,50.926509857177734,209.36441040039062,58.69281768798828,32.52619934082031,48.16183090209961,41.959999084472656,31.483245849609375,91.12521362304688,16.851869583129883,71.61500549316406,142.22000122070312,42.07516098022461,103.66746520996094,20.218347549438477,138.40628051757812,16.389984130859375,61.04928207397461,60.92258071899414,63.66085433959961,87.19085693359375,132.80142211914062,46.063743591308594,82.62653350830078,13.130000114440918,56.122764587402344,116.49385833740234,1616.900390625,119.65007019042969,168.57000732421875,2.6410560607910156,93.92681884765625,22.80599594116211,46.02467727661133
